country,health_index
United States,73.8
Thailand,70.5
Netherlands,70.2
Canada,67.7
Denmark,63.8
Australia,63.5
Switzerland,62.5
France,60.9
Finland,60.8
Belgium,60.5
United Kingdom,59.8
Spain,59.6
South Korea,58.7
Norway,58.5
Malaysia,57.1
Serbia,56.6
Portugal,55
Argentina,54.9
Slovenia,54.9
Sweden,49.3
Poland,48.9
Germany,48.2
Latvia,47.3
Mexico,46.9
Austria,46.6
Japan,46.6
Croatia,46.5
Iceland,46.4
Nicaragua,45.9
China,45.7
Turkey,45.7
New Zealand,45.2
Brazil,45
Peru,45
Saudi Arabia,44.8
India,42.7
Israel,42.2
Singapore,41.4
Bulgaria,41
Belarus,40.6
Ireland,40.2
Indonesia,39.4
Chile,39.3
Qatar,38.8
Bosnia and Herzegovina,38.3
Georgia,38.3
Philippines,38.2
Luxembourg,37.9
Slovakia,37.9
Greece,37.6
Russia,37.6
Cuba,37.4
Czech Republic,37.4
Italy,36.8
Romania,36.7
Hungary,36.6
Kuwait,36.5
Moldova,36.4
Albania,35.9
Ecuador,35.2
Panama,35.1
Iran,34.6
Lithuania,34.4
Colombia,34.3
South Africa,33
Estonia,31.6
Liechtenstein,31.1
Monaco,31
Mongolia,30.8
Kyrgyz Republic,29.8
Montenegro,29.5
Morocco,29.5
Ethiopia,29
Vietnam,28.3
Paraguay,28.2
Nepal,28.1
Kazakhstan,28
Bhutan,27.9
Jordan,27.8
Bahrain,27.7
Armenia,25.7
North Macedonia,25.4
Oman,25.4
Sierra Leone,25.3
El Salvador,25.2
Costa Rica,24.8
Syria,24.4
Brunei,24.2
Rwanda,24.1
Uruguay,24.1
Tunisia,24
Lebanon,23.8
Trinidad and Tobago,23.7
Malta,23.6
Gambia,23.5
Ghana,23.4
Ukraine,23
United Arab Emirates,22.9
Cyprus,21.9
Niger,21.9
Cameroon,21.4
Afghanistan,21
Kenya,20.7
Lesotho,20.6
Tajikistan,20.5
Zambia,20.3
Liberia,19.9
Nigeria,19.9
Pakistan,19.9
Seychelles,19.9
Myanmar,19.5
Laos,19.4
Madagascar,19.2
St Vincent and The Grenadines,19
Micronesia,18.8
Senegal,18.5
Maldives,18.1
Azerbaijan,17.9
Côte d'Ivoire,17.1
Mauritania,17
Mozambique,17
Sri Lanka,16.9
Suriname,16.5
San Marino,16.2
Cabo Verde,16.1
Dominican Republic,16.1
Uzbekistan,16
Egypt,15.7
Malawi,15.3
Mauritius,15.1
Bolivia,14.9
Bangladesh,14.7
Zimbabwe,14.7
Turkmenistan,14.4
Cook Islands,14.3
Sudan,14.3
South Sudan,13.6
Botswana,13.3
Algeria,13.1
Mali,13
Venezuela,12.9
Central African Republic,12.8
Solomon Islands,12.4
Guyana,12.3
North Korea,12.2
Cambodia,12
Honduras,12
Nauru,12
Tuvalu,12
Congo (Democratic Republic),11.8
Iraq,11.8
Papua New Guinea,11.6
Uganda,11.6
Palau,11.5
Guatemala,11.4
Gabon,11.2
Angola,10.9
Haiti,10.6
Grenada,10.3
Namibia,10.1
Jamaica,10
Togo,10
Belize,9.7
Eritrea,9.7
Timor-Leste,9.7
Comoros,9.4
Djibouti,9.3
Andorra,9.2
Samoa,9.2
Libya,9.1
Niue,9.1
Burundi,8.9
Barbados,8.5
Dominica,8.5
Tanzania,8.2
Guinea,8
Bahamas,7.9
Yemen,7.6
Fiji,7.5
Tonga,7.5
Antigua and Barbuda,7.4
Kiribati,7.3
Marshall Islands,7.2
São Tomé and Príncipe,7.2
St Kitts and Nevis,7.1
Chad,6.6
Vanuatu,6.6
eSwatini (Swaziland),6.5
Congo (Brazzaville),6.3
St Lucia,6.3
Benin,5.6
Burkina Faso,5.6
Equatorial Guinea,5
Guinea-Bissau,4.6
Somalia,0.3
