country,prevent_index,,,,
United States,83.1,,,,
Sweden,81.1,,,,
Thailand,75.7,,,,
Netherlands,73.7,,,,
Denmark,72.9,,,,
France,71.2,,,,
Canada,70.0,,,,
Australia,68.9,,,,
Finland,68.5,,,,
United Kingdom,68.3,,,,
Norway,68.2,,,,
Slovenia,67.0,,,,
Germany,66.5,,,,
Ireland,63.9,,,,
Belgium,63.5,,,,
Brazil,59.2,,,,
Kazakhstan,58.8,,,,
Austria,57.4,,,,
South Korea,57.3,,,,
Turkey,56.9,,,,
Armenia,56.7,,,,
Hungary,56.4,,,,
Chile,56.2,,,,
Singapore,56.2,,,,
Latvia,56.0,,,,
Croatia,55.2,,,,
New Zealand,55.0,,,,
Greece,54.2,,,,
Ecuador,53.9,,,,
Slovakia,53.5,,,,
Georgia,53.2,,,,
Spain,52.9,,,,
Portugal,52.8,,,,
Switzerland,52.7,,,,
Malaysia,51.4,,,,
Czech Republic,51.1,,,,
Poland,50.9,,,,
Indonesia,50.2,,,,
Vietnam,49.5,,,,
Japan,49.3,,,,
United Arab Emirates,49.3,,,,
Romania,48.9,,,,
Serbia,48.8,,,,
Estonia,47.6,,,,
Italy,47.5,,,,
Moldova,46.5,,,,
Cyprus,46.4,,,,
Kenya,45.9,,,,
Mexico,45.5,,,,
China,45.0,,,,
South Africa,44.8,,,,
Iran,44.7,,,,
Costa Rica,44.2,,,,
Bolivia,44.0,,,,
Israel,44.0,,,,
Uruguay,44.0,,,,
Albania,43.8,,,,
Nepal,43.7,,,,
Lithuania,43.5,,,,
Peru,43.2,,,,
Liechtenstein,43.1,,,,
Russia,42.9,,,,
Uganda,42.7,,,,
Uzbekistan,42.6,,,,
Nicaragua,41.7,,,,
Argentina,41.4,,,,
Cuba,41.4,,,,
Kuwait,40.9,,,,
Panama,40.5,,,,
Paraguay,39.5,,,,
Philippines,38.5,,,,
Ukraine,38.1,,,,
Bulgaria,37.6,,,,
Mongolia,37.6,,,,
Colombia,37.2,,,,
North Macedonia,37.0,,,,
Ethiopia,36.8,,,,
Bosnia and Herzegovina,36.7,,,,
Egypt,36.5,,,,
Montenegro,36.5,,,,
Bahrain,36.0,,,,
eSwatini (Swaziland),35.7,,,,
Bhutan,35.5,,,,
Iceland,35.3,,,,
Oman,35.3,,,,
Malta,35.0,,,,
India,34.9,,,,
Morocco,34.6,,,,
Saudi Arabia,34.3,,,,
Rwanda,33.8,,,,
Tanzania,33.5,,,,
Barbados,33.3,,,,
Qatar,33.1,,,,
Niger,32.5,,,,
Ghana,32.2,,,,
Namibia,32.0,,,,
Jordan,31.8,,,,
Sudan,31.8,,,,
Tunisia,31.7,,,,
Haiti,31.5,,,,
Zimbabwe,31.4,,,,
Luxembourg,31.0,,,,
Turkmenistan,31.0,,,,
Azerbaijan,30.8,,,,
Dominican Republic,30.5,,,,
Myanmar,30.3,,,,
Madagascar,30.1,,,,
Belize,30.0,,,,
Kyrgyz Republic,29.7,,,,
Cambodia,28.6,,,,
Cameroon,28.2,,,,
Trinidad and Tobago,28.1,,,,
Andorra,27.9,,,,
Cabo Verde,27.9,,,,
Guyana,27.9,,,,
Bangladesh,27.3,,,,
Côte d'Ivoire,27.3,,,,
Lebanon,27.3,,,,
Mauritius,27.3,,,,
Guinea,27.0,,,,
Tajikistan,26.7,,,,
Mozambique,26.5,,,,
Nigeria,26.3,,,,
Algeria,25.7,,,,
Malawi,25.5,,,,
Senegal,25.4,,,,
Burundi,25.1,,,,
Sierra Leone,25.0,,,,
Brunei,24.8,,,,
Bahamas,24.7,,,,
Fiji,24.6,,,,
Vanuatu,24.5,,,,
Zambia,24.5,,,,
Lesotho,24.4,,,,
Sri Lanka,24.2,,,,
Pakistan,24.1,,,,
Angola,24.0,,,,
Congo (Democratic Republic),24.0,,,,
Togo,23.7,,,,
Afghanistan,23.5,,,,
Venezuela,23.5,,,,
Eritrea,23.4,,,,
Mali,23.4,,,,
Suriname,23.3,,,,
Chad,23.2,,,,
Libya,23.2,,,,
St Lucia,22.8,,,,
South Sudan,22.6,,,,
San Marino,22.3,,,,
El Salvador,22.1,,,,
Iraq,22.1,,,,
Botswana,22.0,,,,
Gambia,22.0,,,,
Maldives,21.8,,,,
Honduras,21.6,,,,
Guatemala,21.2,,,,
Micronesia,21.0,,,,
Samoa,20.2,,,,
Jamaica,20.1,,,,
St Vincent and The Grenadines,20.0,,,,
Tonga,19.8,,,,
Belarus,19.4,,,,
Comoros,19.2,,,,
North Korea,19.0,,,,
Laos,18.9,,,,
Syria,18.4,,,,
Timor-Leste,18.2,,,,
Burkina Faso,18.0,,,,
Central African Republic,18.0,,,,
Antigua and Barbuda,17.8,,,,
Congo (Brazzaville),17.6,,,,
Benin,16.5,,,,
Djibouti,16.3,,,,
Somalia,15.8,,,,
Yemen,15.1,,,,
Liberia,14.3,,,,
Guinea-Bissau,14.0,,,,
Tuvalu,13.1,,,,
Dominica,11.2,,,,
Monaco,11.1,,,,
Niue,11.0,,,,
Cook Islands,10.9,,,,
Gabon,10.8,,,,
Kiribati,10.7,,,,
Papua New Guinea,10.0,,,,
Mauritania,9.9,,,,
Seychelles,9.8,,,,
Nauru,9.1,,,,
St Kitts and Nevis,8.7,,,,
Grenada,8.6,,,,
Solomon Islands,8.4,,,,
Palau,8.2,,,,
São Tomé and Príncipe,8.2,,,,
Marshall Islands,7.0,,,,
Equatorial Guinea,1.9,,,,
