country,respond_index
United Kingdom,91.9
United States,79.7
Switzerland,79.3
Netherlands,79.1
Thailand,78.6
South Korea,71.5
Finland,69.2
Portugal,67.7
Brazil,67.1
Australia,65.9
Singapore,64.6
Slovenia,63.3
France,62.9
Sweden,62.8
Spain,61.9
Malaysia,61.3
Canada,60.7
Chile,60.2
Denmark,58.4
Norway,58.2
New Zealand,58.1
Madagascar,57.8
South Africa,57.7
Micronesia,56.9
Uganda,56.5
Armenia,55.5
Serbia,55.1
Germany,54.8
Latvia,54.7
Indonesia,54.3
Japan,53.6
India,52.4
Hungary,52.2
Albania,52
Laos,52
Bosnia and Herzegovina,51.8
Peru,51.7
Morocco,51.5
Mexico,50.8
Argentina,50.6
Myanmar,50.4
Kuwait,50.2
Russia,50.1
Kyrgyz Republic,49.9
United Arab Emirates,49.7
Turkey,49
China,48.6
Qatar,48
Lebanon,47.9
Jordan,47.8
Italy,47.5
Poland,47.5
Belgium,47.3
Dominican Republic,47.3
Suriname,47.3
Estonia,47
Belarus,46.6
Central African Republic,46.6
Czech Republic,46.6
Panama,46.4
Senegal,45.4
Ireland,45.1
Egypt,45
Sierra Leone,44.8
Ethiopia,44.7
Greece,44
Iceland,44
Nigeria,43.8
Philippines,43.8
Colombia,43.5
Bahrain,43.2
Trinidad and Tobago,43.2
Vietnam,43
Tajikistan,42.9
St Lucia,42.4
Austria,42.3
El Salvador,42.1
Bhutan,42
Nepal,41.9
Oman,41.6
Uruguay,41.3
Liberia,40.5
Maldives,40.2
Israel,39.9
Ecuador,39.5
Nicaragua,39.2
Tunisia,39.1
Pakistan,38.7
Burkina Faso,38
Mongolia,37.8
Sudan,37.3
Georgia,37.1
Kenya,37.1
Tanzania,36.8
Cambodia,36.7
Costa Rica,36.6
Guyana,36.2
Romania,35.3
Mauritius,34.9
Papua New Guinea,34.8
Ukraine,34.8
Liechtenstein,34.6
Chad,34.5
Gambia,34.2
Benin,34.1
Slovakia,34.1
Cyprus,33.9
Lithuania,33.9
Iran,33.7
Brunei,33.4
Lesotho,33.2
North Macedonia,33.1
Cabo Verde,32.7
Saudi Arabia,32.6
Croatia,32.4
Montenegro,32.1
Rwanda,31.9
Ghana,31.5
Congo (Democratic Republic),31.3
Moldova,31.1
Bahamas,30.9
Namibia,30.9
Andorra,30.5
Togo,30.4
Timor-Leste,30.2
Zimbabwe,30.1
Côte d'Ivoire,29.7
Cameroon,29.5
Mali,29.5
eSwatini (Swaziland),29.3
Bolivia,29.2
St Vincent and The Grenadines,29.2
Samoa,28.9
Zambia,28.6
Burundi,28.4
Grenada,28.4
Fiji,28.3
Uzbekistan,27.8
Luxembourg,27.3
Barbados,27.2
Comoros,27.1
Paraguay,26.8
Kazakhstan,26.6
Honduras,26.5
Sri Lanka,26.4
St Kitts and Nevis,26.2
Monaco,26
Turkmenistan,26
Cuba,25.9
Nauru,25.9
Azerbaijan,25.5
Belize,25.5
Tonga,25.1
Guatemala,25
Vanuatu,24.8
Jamaica,24.7
Palau,24.5
South Sudan,24.3
Mauritania,24.2
Botswana,23.9
Afghanistan,23.6
Congo (Brazzaville),23.6
Kiribati,23.4
Djibouti,23.2
Bangladesh,23.1
Guinea,23
Syria,23
Malta,22.4
Niue,21.8
Angola,21.7
Antigua and Barbuda,21.7
Bulgaria,21.7
Haiti,21.1
Dominica,20.9
San Marino,20.8
Malawi,20.7
Seychelles,20.7
Gabon,20.6
Niger,20.1
Venezuela,19.7
Algeria,19.6
Tuvalu,19.6
Iraq,19.5
Yemen,19
Libya,18.9
São Tomé and Príncipe,18.7
Solomon Islands,18.7
Mozambique,18.2
Marshall Islands,18.1
Guinea-Bissau,17.8
Equatorial Guinea,17.6
Cook Islands,17.5
Somalia,17.4
Eritrea,16
North Korea,11.3
