Name,Country,office,start,end,length,position,head of government,inoffice2020-01-01,headgov20200101,GeoId2
Brigitte Bierlein, Austria,Chancellor,3-Jun-19,7-Jan-20,218 days,Head of government,1,1,1,AUT
Sophie Wilmès, Belgium,Prime Minister,27-Oct-19,Incumbent,179 days,Head of government,1,1,1,BEL
Sheikh Hasina, Bangladesh,Prime Minister,6-Jan-09,Incumbent,"11 years, 108 days",Head of government,1,1,1,BGD
Jeanine Áñez, Bolivia,Acting President,12-Nov-19,Incumbent,163 days,Head of state and government,1,1,1,BOL
Mia Mottley, Barbados,Prime Minister,25-May-18,Incumbent,"1 year, 334 days",Head of government,1,1,1,BRB
Angela Merkel, Germany,Chancellor,22-Nov-05,Incumbent,"14 years, 153 days",Head of government,1,1,1,DEU
Mette Frederiksen, Denmark,Prime Minister,27-Jun-19,Incumbent,301 days,Head of government,1,1,1,DNK
Sanna Marin, Finland,Prime Minister,10-Dec-19,Incumbent,135 days,Head of government,1,1,1,FIN
Katrín Jakobsdóttir, Iceland,Prime Minister,30-Nov-17,Incumbent,"2 years, 145 days",Head of government,1,1,1,ISL
Hilda Heine, Marshall Islands,President,28-Jan-16,14-Jan-20,"3 years, 351 days",Head of state and government,1,1,1,MHL
Aung San Suu Kyi, Myanmar,State Counsellor,6-Apr-16,Incumbent,"4 years, 17 days",de facto Head of government,1,1,1,MMR
Saara Kuugongelwa, Namibia,Prime Minister,21-Mar-15,Incumbent,"5 years, 33 days",*,1,1,1,NAM
Aminata Touré, Norway,Prime Minister,16-Oct-13,Incumbent,"6 years, 190 days",Head of government,1,1,1,NOR
Jacinda Ardern, New Zealand,Prime Minister,26-Oct-17,Incumbent,"2 years, 180 days",Head of government,1,1,1,NZL
Ana Brnabic, Serbia,Prime Minister,29-Jun-17,Incumbent,"2 years, 299 days",Head of government,1,1,1,SRB
Tsai Ing-wen, Taiwan,President,20-May-16,Incumbent,"3 years, 339 days",Head of state and government,1,1,1,TWN
Khertek Anchimaa-Toka, Tannu Tuva[d],Chairperson of the Presidium of the Little Khural,6-Apr-40,11-Oct-44,"4 years, 188 days",Head of state,0,0,0,
Sükhbaataryn Yanjmaa,Mongolia,Acting Chairperson of the Presidium of the State Great Khural,7-Sep-53,7-Jul-54,303 days,Head of state,0,0,0,
Sirimavo Bandaranaike, Ceylon[e],Prime Minister,21-Jul-60,27-Mar-65,"4 years, 249 days",Head of government,1,0,0,
Soong Ching-ling, China,Acting Co-Chairperson,31-Oct-68,24-Apr-72,"3 years, 176 days",Head of state,0,0,0,
Golda Meir, Israel,Prime Minister,17-Mar-69,3-Jun-74,"5 years, 78 days",Head of government,1,0,0,
Isabel Martínez de Perón, Argentina,President,1-Jul-74,24-Mar-76,"1 year, 267 days",Head of state and government,1,0,0,
Elisabeth Domitien, Central African Republic,Prime Minister,2-Jan-75,7-Apr-76,"1 year, 96 days",*,,0,0,
Indira Gandhi, India,Prime Minister,24-Jan-66,24-Apr-77,"11 years, 90 days",Head of government,1,0,0,
Sirimavo Bandaranaike, Ceylon/Celon,Prime Minister,29-May-70,23-Jul-77,"7 years, 55 days",Head of government,1,0,0,
Maria de Lourdes Pintasilgo, Portugal,Prime Minister,1-Aug-79,3-Jan-80,186 days,Head of government,1,0,0,
Lidia Gueiler Tejada, Bolivia,Acting President,16-Nov-79,17-Jul-80,244 days,Head of state,0,0,0,
Soong Ching-ling, China,Honorary President,16-May-81,28-May-81,12 days,Head of state,0,0,0,
Gro Harlem Brundtland, Norway,Prime Minister,4-Feb-81,14-Oct-81,252 days,Head of government,1,0,0,
Carmen Pereira, Guinea-Bissau,Acting President,14-May-84,16-May-84,2 days,Head of state,0,0,0,
Indira Gandhi, India,Prime Minister,15-Jan-80,31-Oct-84,"4 years, 290 days",Head of government,1,0,0,
Milka Planinc, Yugoslavia,Prime Minister,16-May-82,15-May-86,"3 years, 364 days",Head of government,1,0,0,
Agatha Barbara, Malta,President,15-Feb-82,15-Feb-87,"5 years, 0 days",Head of state,0,0,0,
Stella Sigcau, Transkei,Prime Minister,5-Oct-87,30-Dec-87,86 days,Head of government,1,0,0,
Gro Harlem Brundtland, Norway,Prime Minister,9-May-86,16-Oct-89,"3 years, 160 days",Head of government,1,0,0,
Benazir Bhutto, Pakistan,Prime Minister,2-Dec-88,6-Jul-90,"1 year, 216 days",Head of government,1,0,0,
