Country_name,ISO3,REGION,Measure_taxonomy,Measure_Category,SOURCE_TYPE,Enforcement_taxonomy,Log_type
Afghanistan,AFG,Asia,Schools closure ,Social distancing,Government,Fines,Introduction / extension of measures
Albania,ALB,Europe,Border checks ,Movement restrictions,Media,Arrest/Detention,Phase-out measure
Algeria,DZA,Africa,Border closure ,Movement restrictions,UN,Deportation,NA
Angola,AGO,Africa,Closure of businesses and public services,Social distancing,Other organisations,Refusal to enter the country,NA
Antigua and Barbuda,ATG,Americas,Isolation and quarantine policies,Public health measures,Social media,Legal action,NA
Argentina,ARG,Americas,Limit public gatherings,Social distancing,Other,Not applicable,NA
Armenia,ARM,Asia,Economic measures,Governance and socio-economic measures,NA,Not available,NA
Australia,AUS,Pacific,Awareness campaigns,Public health measures,NA,Other (add in comments),NA
Austria,AUT,Europe,International flights suspension,Movement restrictions,NA,Up to detention,NA
Azerbaijan,AZE,Asia,Health screenings in airports and border crossings,Public health measures,NA,NA,NA
Bahamas,BHS,Americas,Emergency administrative structures activated or established,Governance and socio-economic measures,NA,NA,NA
Bahrain,BHR,Middle East,Domestic travel restrictions,Movement restrictions,NA,NA,NA
Bangladesh,BGD,Asia,Strengthening the public health system,Public health measures,NA,NA,NA
Barbados,BRB,Americas,Limit product imports/exports,Governance and socio-economic measures,NA,NA,NA
Belarus,BLR,Europe,Visa restrictions,Movement restrictions,NA,NA,NA
Belgium,BEL,Europe,Checkpoints within the country,Movement restrictions,NA,NA,NA
Belize,BLZ,Americas,State of emergency declared,Governance and socio-economic measures,NA,NA,NA
Benin,BEN,Africa,Additional health/documents requirements upon arrival,Movement restrictions,NA,NA,NA
Bhutan,BTN,Asia,Changes in prison-related policies,Social distancing,NA,NA,NA
Bolivia,BOL,Americas,General recommendations,Public health measures,NA,NA,NA
Bosnia and Herzegovina,BIH,Europe,Full lockdown,Lockdown,NA,NA,NA
Botswana,BWA,Africa,Psychological assistance and medical social work,Public health measures,NA,NA,NA
Brazil,BRA,Americas,Obligatory medical tests not related to COVID-19,Public health measures,NA,NA,NA
Brunei Darussalam,BRN,Asia,Mass population testing,Public health measures,NA,NA,NA
Bulgaria,BGR,Europe,Surveillance and monitoring,Movement restrictions,NA,NA,NA
Burkina Faso,BFA,Africa,Lockdown of refugee/idp camps or other minorities,Lockdown,NA,NA,NA
Burundi,BDI,Africa,Testing policy,Public health measures,NA,NA,NA
Cabo Verde,CPV,Africa,Military deployment,Governance and socio-economic measures,NA,NA,NA
Cambodia,KHM,Asia,Complete border closure,Movement restrictions,NA,NA,NA
Cameroon,CMR,Africa,Curfews,Movement restrictions,NA,NA,NA
Canada,CAN,Americas,Amendments to funeral and burial regulations,Public health measures,NA,NA,NA
Central African Republic,CAF,Africa,Partial lockdown,Lockdown,NA,NA,NA
Chad,TCD,Africa,Humanitarian exemptions,Humanitarian exemption,NA,NA,NA
Chile,CHL,Americas,Requirement to wear protective gear in public,Public health measures,NA,NA,NA
China,CHN,Asia,Other public health measures enforced,Public health measures,NA,NA,NA
Colombia,COL,Americas,NA,NA,NA,NA,NA
Comoros,COM,Africa,NA,NA,NA,NA,NA
Congo,COG,Africa,NA,NA,NA,NA,NA
Congo DR,COD,Africa,NA,NA,NA,NA,NA
Costa Rica,CRI,Americas,NA,NA,NA,NA,NA
Côte d'Ivoire,CIV,Africa,NA,NA,NA,NA,NA
Croatia,HRV,Europe,NA,NA,NA,NA,NA
Cuba,CUB,Americas,NA,NA,NA,NA,NA
Cyprus,CYP,Europe,NA,NA,NA,NA,NA
Czech Republic,CZE,Europe,NA,NA,NA,NA,NA
Denmark,DNK,Europe,NA,NA,NA,NA,NA
Djibouti,DJI,Africa,NA,NA,NA,NA,NA
Dominica,DMA,Americas,NA,NA,NA,NA,NA
Dominican Republic,DOM,Americas,NA,NA,NA,NA,NA
Ecuador,ECU,Americas,NA,NA,NA,NA,NA
Egypt,EGY,Africa,NA,NA,NA,NA,NA
El Salvador,SLV,Americas,NA,NA,NA,NA,NA
Equatorial Guinea,GNQ,Africa,NA,NA,NA,NA,NA
Eritrea,ERI,Africa,NA,NA,NA,NA,NA
Estonia,EST,Europe,NA,NA,NA,NA,NA
Ethiopia,ETH,Africa,NA,NA,NA,NA,NA
Fiji,FJI,Pacific,NA,NA,NA,NA,NA
Finland,FIN,Europe,NA,NA,NA,NA,NA
France,FRA,Europe,NA,NA,NA,NA,NA
Gabon,GAB,Africa,NA,NA,NA,NA,NA
Gambia,GMB,Africa,NA,NA,NA,NA,NA
Georgia,GEO,Europe,NA,NA,NA,NA,NA
Germany,DEU,Europe,NA,NA,NA,NA,NA
Ghana,GHA,Africa,NA,NA,NA,NA,NA
Greece,GRC,Europe,NA,NA,NA,NA,NA
Grenada,GRD,Americas,NA,NA,NA,NA,NA
Guatemala,GTM,Americas,NA,NA,NA,NA,NA
Guinea,GIN,Africa,NA,NA,NA,NA,NA
Guinea-Bissau,GNB,Africa,NA,NA,NA,NA,NA
Guyana,GUY,Americas,NA,NA,NA,NA,NA
Haiti,HTI,Americas,NA,NA,NA,NA,NA
Honduras,HND,Americas,NA,NA,NA,NA,NA
Hungary,HUN,Europe,NA,NA,NA,NA,NA
Iceland,ISL,Europe,NA,NA,NA,NA,NA
India,IND,Asia,NA,NA,NA,NA,NA
Indonesia,IDN,Asia,NA,NA,NA,NA,NA
