"","date","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","country_id"
"1",2019-12-31,0,0,0,0,NA,-75,"AFG"
"2",2020-01-01,0,0,0,0,NA,-74,"AFG"
"3",2020-01-02,0,0,0,0,NA,-73,"AFG"
"4",2020-01-03,0,0,0,0,NA,-72,"AFG"
"5",2020-01-04,0,0,0,0,NA,-71,"AFG"
"6",2020-01-05,0,0,0,0,NA,-70,"AFG"
"7",2020-01-06,0,0,0,0,NA,-69,"AFG"
"8",2020-01-07,0,0,0,0,NA,-68,"AFG"
"9",2020-01-08,0,0,0,0,NA,-67,"AFG"
"10",2020-01-09,0,0,0,0,NA,-66,"AFG"
"11",2020-01-10,0,0,0,0,NA,-65,"AFG"
"12",2020-01-11,0,0,0,0,NA,-64,"AFG"
"13",2020-01-12,0,0,0,0,NA,-63,"AFG"
"14",2020-01-13,0,0,0,0,NA,-62,"AFG"
"15",2020-01-14,0,0,0,0,NA,-61,"AFG"
"16",2020-01-15,0,0,0,0,NA,-60,"AFG"
"17",2020-01-16,0,0,0,0,NA,-59,"AFG"
"18",2020-01-17,0,0,0,0,NA,-58,"AFG"
"19",2020-01-18,0,0,0,0,NA,-57,"AFG"
"20",2020-01-19,0,0,0,0,NA,-56,"AFG"
"21",2020-01-20,0,0,0,0,NA,-55,"AFG"
"22",2020-01-21,0,0,0,0,NA,-54,"AFG"
"23",2020-01-22,0,0,0,0,NA,-53,"AFG"
"24",2020-01-23,0,0,0,0,NA,-52,"AFG"
"25",2020-01-24,0,0,0,0,NA,-51,"AFG"
"26",2020-01-25,0,0,0,0,NA,-50,"AFG"
"27",2020-01-26,0,0,0,0,NA,-49,"AFG"
"28",2020-01-27,0,0,0,0,NA,-48,"AFG"
"29",2020-01-28,0,0,0,0,NA,-47,"AFG"
"30",2020-01-29,0,0,0,0,NA,-46,"AFG"
"31",2020-01-30,0,0,0,0,NA,-45,"AFG"
"32",2020-01-31,0,0,0,0,NA,-44,"AFG"
"33",2020-02-01,0,0,0,0,NA,-43,"AFG"
"34",2020-02-02,0,0,0,0,NA,-42,"AFG"
"35",2020-02-03,0,0,0,0,NA,-41,"AFG"
"36",2020-02-04,0,0,0,0,NA,-40,"AFG"
"37",2020-02-05,0,0,0,0,NA,-39,"AFG"
"38",2020-02-06,0,0,0,0,NA,-38,"AFG"
"39",2020-02-07,0,0,0,0,NA,-37,"AFG"
"40",2020-02-08,0,0,0,0,NA,-36,"AFG"
"41",2020-02-09,0,0,0,0,NA,-35,"AFG"
"42",2020-02-10,0,0,0,0,NA,-34,"AFG"
"43",2020-02-11,0,0,0,0,NA,-33,"AFG"
"44",2020-02-12,0,0,0,0,NA,-32,"AFG"
"45",2020-02-13,0,0,0,0,NA,-31,"AFG"
"46",2020-02-14,0,0,0,0,NA,-30,"AFG"
"47",2020-02-15,0,0,0,0,NA,-29,"AFG"
"48",2020-02-16,0,0,0,0,NA,-28,"AFG"
"49",2020-02-17,0,0,0,0,NA,-27,"AFG"
"50",2020-02-18,0,0,0,0,NA,-26,"AFG"
"51",2020-02-19,0,0,0,0,NA,-25,"AFG"
"52",2020-02-20,0,0,0,0,NA,-24,"AFG"
"53",2020-02-21,0,0,0,0,NA,-23,"AFG"
"54",2020-02-22,0,0,0,0,NA,-22,"AFG"
"55",2020-02-23,0,0,0,0,NA,-21,"AFG"
"56",2020-02-24,0,0,0,0,NA,-20,"AFG"
"57",2020-02-25,0,0,0,0,NA,-19,"AFG"
"58",2020-02-26,0,0,0,0,NA,-18,"AFG"
"59",2020-02-27,0,0,0,0,NA,-17,"AFG"
"60",2020-02-28,0,0,0,0,NA,-16,"AFG"
"61",2020-02-29,0,0,0,0,NA,-15,"AFG"
"62",2020-03-01,0,0,0,0,NA,-14,"AFG"
"63",2020-03-02,0,0,0,0,NA,-13,"AFG"
"64",2020-03-08,0,0,0,0,NA,-7,"AFG"
"65",2020-03-11,0,0,0,0,NA,-4,"AFG"
"66",2020-03-15,1,0,0,1,NA,0,"AFG"
"67",2020-03-16,1,0,0,1,NA,1,"AFG"
"68",2020-03-17,1,0,0,1,NA,2,"AFG"
"69",2020-03-18,1,0,0,1,NA,3,"AFG"
"70",2020-03-19,1,0,0,1,NA,4,"AFG"
"71",2020-03-20,1,0,0,1,NA,5,"AFG"
"72",2020-03-21,1,0,0,1,NA,6,"AFG"
"73",2020-03-22,1,0,0,2,NA,7,"AFG"
"74",2020-03-23,1,0,0,2,NA,8,"AFG"
"75",2020-03-24,1,0,0,2,NA,9,"AFG"
"76",2020-03-25,1,0,0,2,NA,10,"AFG"
"77",2020-03-26,1,0,0,2,NA,11,"AFG"
"78",2020-03-27,1,0,0,2,NA,12,"AFG"
"79",2020-03-28,1,0,0,2,NA,13,"AFG"
"80",2020-03-29,1,0,0,2,NA,14,"AFG"
"81",2020-03-30,1,0,0,2,NA,15,"AFG"
"82",2020-03-31,1,0,0,2,NA,16,"AFG"
"83",2020-04-01,1,0,0,2,NA,17,"AFG"
"84",2020-04-02,1,0,0,2,NA,18,"AFG"
"85",2020-04-03,1,0,0,2,NA,19,"AFG"
"86",2020-04-04,1,0,0,2,NA,20,"AFG"
"87",2020-04-05,1,0,0,2,NA,21,"AFG"
"88",2020-04-06,1,0,0,2,NA,22,"AFG"
"89",2020-04-07,1,0,0,2,NA,23,"AFG"
"90",2020-04-08,1,0,0,2,NA,24,"AFG"
"91",2020-04-09,1,0,0,2,NA,25,"AFG"
"92",2020-04-10,1,0,0,2,NA,26,"AFG"
"93",2020-04-11,1,0,0,2,NA,27,"AFG"
"94",2020-04-12,1,0,0,2,NA,28,"AFG"
"95",2020-04-13,1,0,0,2,NA,29,"AFG"
"96",2020-04-14,1,0,0,2,NA,30,"AFG"
"97",2020-04-15,1,0,0,2,NA,31,"AFG"
"98",2020-04-16,1,0,0,2,NA,32,"AFG"
"99",2020-04-17,1,0,0,2,NA,33,"AFG"
"100",2020-04-18,1,0,0,2,NA,34,"AFG"
"101",2020-04-19,1,0,0,2,NA,35,"AFG"
"102",2020-04-20,1,0,0,2,NA,36,"AFG"
"103",2020-04-21,1,0,0,2,NA,37,"AFG"
"104",2020-04-22,1,0,0,2,NA,38,"AFG"
"105",2020-04-23,1,0,0,2,NA,39,"AFG"
"106",2020-04-24,1,0,0,2,NA,40,"AFG"
"107",2020-04-25,1,0,0,2,NA,41,"AFG"
"108",2020-04-26,1,0,0,2,NA,42,"AFG"
"109",2020-04-27,1,0,0,2,NA,43,"AFG"
"110",2020-04-28,1,0,0,2,NA,44,"AFG"
"111",2020-04-29,1,0,0,2,NA,45,"AFG"
"112",2020-04-30,1,0,0,2,NA,46,"AFG"
"113",2020-05-01,1,0,0,2,NA,47,"AFG"
"114",2020-05-02,1,0,0,2,NA,48,"AFG"
"115",2020-05-03,1,0,0,2,NA,49,"AFG"
"116",2020-05-04,1,0,0,2,NA,50,"AFG"
"117",2020-05-05,1,0,0,2,NA,51,"AFG"
"118",2020-05-06,1,0,0,2,NA,52,"AFG"
"119",2020-05-07,1,0,0,2,NA,53,"AFG"
"120",2020-05-08,1,0,0,2,NA,54,"AFG"
"121",2020-05-09,1,0,0,2,NA,55,"AFG"
"122",2020-05-10,1,0,0,2,NA,56,"AFG"
"123",2020-05-11,1,0,0,2,NA,57,"AFG"
"124",2020-05-12,1,0,0,2,NA,58,"AFG"
"125",2020-05-13,1,0,0,2,NA,59,"AFG"
"126",2020-03-09,0,0,0,0,-24,-1,"ALB"
"127",2020-03-10,1,0,0,3,-23,0,"ALB"
"128",2020-03-11,1,0,0,3,-22,1,"ALB"
"129",2020-03-12,1,0,0,3,-21,2,"ALB"
"130",2020-03-13,1,0,0,3,-20,3,"ALB"
"131",2020-03-14,1,0,0,3,-19,4,"ALB"
"132",2020-03-15,1,0,0,3,-18,5,"ALB"
"133",2020-03-16,1,0,0,3,-17,6,"ALB"
"134",2020-03-17,1,0,0,3,-16,7,"ALB"
"135",2020-03-18,1,0,0,3,-15,8,"ALB"
"136",2020-03-19,1,0,0,3,-14,9,"ALB"
"137",2020-03-20,1,0,0,3,-13,10,"ALB"
"138",2020-03-21,1,0,0,3,-12,11,"ALB"
"139",2020-03-22,1,0,0,4,-11,12,"ALB"
"140",2020-03-23,1,0,0,5,-10,13,"ALB"
"141",2020-03-24,1,0,0,5,-9,14,"ALB"
"142",2020-03-25,1,0,0,5,-8,15,"ALB"
"143",2020-03-26,1,0,0,5,-7,16,"ALB"
"144",2020-03-27,1,0,0,5,-6,17,"ALB"
"145",2020-03-28,1,0,0,5,-5,18,"ALB"
"146",2020-03-29,1,0,0,5,-4,19,"ALB"
"147",2020-03-30,1,0,0,6,-3,20,"ALB"
"148",2020-03-31,1,0,0,6,-2,21,"ALB"
"149",2020-04-01,1,0,0,6,-1,22,"ALB"
"150",2020-04-02,1,1,1,6,0,23,"ALB"
"151",2020-04-03,1,1,1,6,1,24,"ALB"
"152",2020-04-04,1,1,1,6,2,25,"ALB"
"153",2020-04-05,1,1,1,6,3,26,"ALB"
"154",2020-04-06,1,1,1,6,4,27,"ALB"
"155",2020-04-07,1,1,1,6,5,28,"ALB"
"156",2020-04-08,1,1,1,6,6,29,"ALB"
"157",2020-04-09,1,1,1,6,7,30,"ALB"
"158",2020-04-10,1,1,1,6,8,31,"ALB"
"159",2020-04-11,1,1,1,6,9,32,"ALB"
"160",2020-04-12,1,1,1,6,10,33,"ALB"
"161",2020-04-13,1,1,2,7,11,34,"ALB"
"162",2020-04-14,1,1,2,7,12,35,"ALB"
"163",2020-04-15,1,1,2,7,13,36,"ALB"
"164",2020-04-16,1,1,2,7,14,37,"ALB"
"165",2020-04-17,1,1,2,7,15,38,"ALB"
"166",2020-04-18,1,1,2,7,16,39,"ALB"
"167",2020-04-19,1,1,2,7,17,40,"ALB"
