"","country_id","country","region","X.x","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","X.y","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","X.x.x","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","X.y.y","share_health_ins","X.x.x.x","pandemic_prep","X.y.y.y","pop_den_2018","X.x.x.x.x","life_exp_2017","X.y.y.y.y","resp_disease_prev","X.x.x.x.x.x","detect_index","X.y.y.y.y.y","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","X.x.x.x.x.x.x","health_index","X.y.y.y.y.y.y","respond_index","X","state_fragility","pr","share_older","pop_tot_log","pop_density_log"
"1","ABW","Aruba","Latin America & Caribbean",14,1.058392,NA,NA,NA,0.105845,6093,8252,12.5219084073009,134979426.030359,588.027777777778,NA,34.7621018587146,0,NA,NA,NA,1,17.8024469743493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8,99.2,NA,NA,1,588.027777777778,1,76.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5528366951675,-2.24577951917259,6.37677418790147
"2","AFG","Afghanistan","South Asia",3,-1.457285,NA,NA,2.17283221680084,37.172386,445283,515559,14.3593532361536,119435105.715177,56.937760009803,10.792339238057,1.17554692684705,0.00125468841072462,NA,0.600920393634121,8.82058232654446,2,43.0901755117794,-1,31.4,0.74431,0.675506888,1,0.015,0.865,-0.516,0.142,0.423,0.139,0.581,NA,NA,NA,0,-0.5602615492495,NA,NA,NA,1662,1329,1329,0.000752445447705041,NA,0,NA,NA,NA,0,1,16.5,0.230000004172325,0.769344568252563,0.271683901548386,0.75079703,2.29200005531311,NA,NA,130,32.3,2,56.937760009803,2,64.13,1,3.888609794346,77,44.8,1,29.5,50,31.7,25.9,39.2,8,0.5,102,21,161,23.6,159,20,0,2.58482735006572,3.6155661738013,4.04195874159246
"3","AGO","Angola","Sub-Saharan Africa",9,-1.052086,NA,39.6,6.92431736780124,30.809762,304406,378459,14.2320006667858,-6456076413.12033,24.7130520574316,25.2329115687424,0.427004679966497,15.7539134214684,NA,5.00193426291295,NA,3,46.8089247095412,-2,NA,0.7482,0.69876,4,0.62,1.508,1.383,-1.173,0.603,-0.541,0.717,NA,NA,NA,0,-0.619584858491493,1,1,NA,NA,895,895,0.00111731843575419,NA,0,NA,NA,NA,0,4,16.3,0.150999993085861,0.786719977855682,0.627643525600433,0.7561,1.2940000295639,4,0,170,25.2,3,24.7130520574316,3,60.379,6,4.413278156861,162,17.9,5,14.4,80,66,33.4,39.4,82,0.6,157,10.9,170,21.7,146,16,1,2.21639167482047,3.42783158781405,3.20733152744526
"4","AIA","Anguilla",NA,5,0.8301269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALB","Albania","Europe & Central Asia",6,0.114788,77.0824018603293,NA,13.6701023036374,2.866376,189497,204463,12.6219434263522,1204383363.60476,104.612262773723,NA,1.98903641031678,1.36575244280874,36.2550631549433,21.3865722661575,19.0816723832217,4,17.672873724304,9,38.4,0.3144,0.5328,2,0.1,-0.664,0.415,1.265,0.737,2.143,0.655,NA,NA,NA,0,0.208983076378688,3,3,NA,NA,471,471,0.00212314225053079,NA,0,NA,NA,NA,0,2,32.9,0.430000007152557,0.220425993204117,0.471851587295532,0.096599996,2.16799998283386,1,23.6,39,52.9,4,104.612262773723,4,78.333,2,2.8627612309018,25,74.3,2,128.6,290,97.2,75.4,97.7,314,0.8,59,35.9,34,52,17,1,1,13.7441842940354,1.05304851410166,4.65026077968978
"6","AND","Andorra","Europe & Central Asia",1,1.944976,NA,NA,NA,0.077006,NA,NA,NA,NA,163.842553191489,NA,59.713649198984,NA,NA,NA,NA,NA,NA,NA,30.6857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.66199,NA,0,NA,NA,NA,NA,NA,1122,1122,0.00089126559714795,NA,0,NA,NA,NA,0,NA,NA,NA,0.713945984840393,0.232568502426147,NA,NA,NA,NA,143,30.5,5,163.842553191489,NA,NA,5,4.1969979713097,172,14.2,4,369,250,100,94.7,100,2446,0.9,168,9.2,123,30.5,NA,NA,NA,NA,-2.5638719380863,5.09890592517387
"7","ARE","United_Arab_Emirates","Middle East & North Africa",2,1.431291,161.839789981026,NA,65.9432789706915,9.630959,68980,35562,18.3749830282314,10385286000,135.609110109828,59.9724700312814,88.4040483728066,13.131343752479,NA,6.81037334542713,NA,6,14.6035093701468,-8,NA,0.2112,0.4224,0,0,-2.861,-1.882,1.815,0.376,1.888,0.124,NA,NA,NA,0,-0.49766923150949,1,1,NA,NA,NA,2000,0,NA,0,87,NA,NA,0,172,30,0.0970000028610229,0.625199973583221,0.33103808760643,0.73730004,0.34799998998642,152,100,56,46.7,7,135.609110109828,6,77.647,184,3.288011278725,127,31.6,185,155.8,120,90,70.3,100,1845,0.9,98,22.9,45,49.7,69,5,NA,1.08547861121618,2.26498280548317,4.90977655695037
"8","ARG","Argentina","Latin America & Caribbean",10,0.0259878,30.7004460241825,29.9,22.7459037844103,44.494502,2021288,2925564,16.7104240974493,11872856662.7649,16.2585100979651,43.0081024392632,4.80529233472193,0.73582402708323,30.5905578010903,34.3623413293522,19.7620486495655,7,24.7609338351238,9,38.325,0.0586500000000001,0.114681,1,0.015,2.067,1.649,0.991,0.824,0.291,0.367,NA,22.64706,22.6005855858667,0,0.738101406587483,4,4,599,1325,599,599,0.00166944908180301,NA,0,NA,NA,NA,0,6,31.1,0.670000016689301,0.254999995231628,0.223620697855949,0.25489998,2.95499992370606,6,96.8,25,58.6,8,16.2585100979651,7,76.372,8,3.433129865507,23,74.9,7,390.7,500,99.1,68.1,94.8,1140,0.8,18,54.9,40,50.6,39,3,1,11.1178949704842,3.7953656309774,2.78861647002994
"9","ARM","Armenia","Europe & Central Asia",7,-0.0243394,91.2889618836494,29.2,12.7149581875167,2.951776,130888,201290,NA,254146163.557324,103.680224798033,36.5991186323081,6.33589288838696,0,54.7513338154784,0.726236230955159,28.3956683352025,8,20.6334219249969,7,36.7375,0.04133878,0.0813797014400001,2,0.0139,1.422,1.127,1.742,0.894,1.448,0.227,NA,10.01821,41.0764872521246,0,0.208983076378688,2,2,NA,1817,NA,1817,0.000550357732526142,NA,0,NA,NA,NA,0,7,32.7,0.232999995350838,0.127153992652893,0.457560896873474,0.13379997,1.77400004863739,7,100,44,50.2,9,103.680224798033,8,74.797,9,2.892043363356,46,60.8,8,280.3,420,99.7,70.7,91.6,144,0.8,81,25.7,26,55.5,70,6,1,11.2534962002537,1.08240702310033,4.64131140079252
"10","ATG","Antigua_and_Barbuda","Latin America & Caribbean",4,-0.0060096,NA,NA,21.1157982687308,0.096286,3904,4570,13.2710853314742,135127898.770161,218.831818181818,NA,30.5855061099131,0,NA,NA,NA,9,22.0810917475022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1115,1115,0.000896860986547085,NA,0,NA,NA,NA,0,5,30.5,NA,0.164256006479263,0.683991312980652,NA,NA,5,51.1,147,29,11,218.831818181818,9,76.752,7,3.2705969709227,158,19.1,6,15.8,380,99,69.8,87.5,591,0.8,181,7.4,171,21.7,NA,NA,NA,8.80086409239142,-2.3404323497705,5.38830348128147
"11","AUS","Australia","East Asia & Pacific",13,1.596495,43.1922611196402,NA,49.575981131221,24.982688,1837298,2074185,18.1418612298843,61493831898.8603,3.24787091037205,60.8916182277904,28.2184096915625,0.212180595930196,NA,NA,NA,10,19.1906170385658,10,32.4714285714286,0.2824,0.495296,1,0.02,1.048,1.049,1.383,0.898,2.861,0.041,46.5059860011204,54.43383,31.767955801105,0,0.514472000666193,6,6,811,NA,811,811,0.00123304562268804,7.03110649350649,0,NA,6,NA,0,8,37.2,0.834999978542328,0.0929019972681999,0.821085512638092,0.14850396,3.81399989128113,9,100,4,75.5,12,3.24912948744283,10,82.4975609756098,10,3.8827269902903,2,97.3,9,349.6,380,99.9,95.9,100,3094,0.9,6,63.5,10,65.9,30,2,1,15.6567740028615,3.21818310499318,1.17799967716602
"12","AUT","Austria","Europe & Central Asia",12,1.453342,107.790261820777,NA,55.6871892771302,8.840521,726772,953036,16.3754864915074,4220346205.72346,107.127966860564,21.4981334244894,17.465726250517,0.0315537957214575,NA,33.7050727477016,NA,11,14.2979476320233,10,27.75,0.130968,0.25765056,1,0.006,2.16,1.708,2.803,0.78,2.06,0.045,47.8512265139654,NA,NA,0,0.738101406587483,4,4,NA,774,1664,774,0.00129198966408269,5.39767731958763,1,2,NA,NA,0,9,42.7,0.757000029087067,0.106776185333729,0.414621710777283,0.12563103,3.72199988365173,10,99.3,26,58.5,13,107.206926667578,11,81.6414634146342,11,4.1732863109335,28,73.2,10,523,760,99.9,93.9,100,3840,0.9,25,46.6,76,42.3,1,0,1,19.0012330721232,2.17934581156444,4.67402407184892
