"checks_veto","polariz_veto","country_id"
NA,NA,"AFG"
1,1,"AGO"
3,3,"ALB"
1,1,"ARE"
4,4,"ARG"
2,2,"ARM"
6,6,"AUS"
4,4,"AUT"
1,1,"AZE"
NA,NA,"BDI"
4,NA,"BEL"
3,NA,"BEN"
3,3,"BFA"
3,3,"BGD"
5,NA,"BGR"
NA,NA,"BHR"
4,4,"BHS"
3,NA,"BIH"
3,NA,"BLR"
3,3,"BLZ"
2,2,"BOL"
4,4,"BRA"
4,4,"BRB"
1,1,"BRN"
1,1,"BTN"
2,2,"BWA"
3,NA,"CAF"
4,4,"CAN"
3,NA,"CHE"
2,2,"CHL"
1,1,"CHN"
2,2,"CIV"
2,2,"CMR"
4,4,"COG"
4,NA,"COL"
3,NA,"COM"
3,3,"CPV"
2,2,"CRI"
1,1,"CUB"
4,4,"CYP"
5,5,"CZE"
6,6,"DEU"
1,1,"DJI"
6,6,"DNK"
2,2,"DOM"
3,3,"DZA"
2,2,"ECU"
1,NA,"EGY"
1,1,"ERI"
4,4,"ESP"
3,NA,"EST"
3,3,"ETH"
3,3,"FIN"
1,1,"FJI"
5,5,"FRA"
3,3,"GAB"
4,4,"GBR"
1,1,"GEO"
NA,NA,"GHA"
3,NA,"GIN"
2,2,"GMB"
3,3,"GNB"
1,1,"GNQ"
3,3,"GRC"
1,1,"GRD"
4,4,"GTM"
3,3,"GUY"
4,4,"HND"
4,4,"HRV"
5,NA,"HTI"
3,3,"HUN"
4,NA,"IDN"
4,4,"IND"
7,7,"IRL"
3,NA,"IRN"
6,NA,"IRQ"
4,NA,"ISL"
2,2,"ISR"
4,NA,"ITA"
4,4,"JAM"
1,1,"JOR"
3,3,"JPN"
1,1,"KAZ"
3,NA,"KEN"
3,NA,"KGZ"
1,1,"KHM"
4,4,"KOR"
1,1,"KWT"
1,1,"LAO"
1,1,"LBN"
4,NA,"LBR"
1,1,"LBY"
4,4,"LCA"
3,NA,"LKA"
4,NA,"LSO"
3,NA,"LTU"
5,5,"LUX"
5,NA,"LVA"
1,1,"MAR"
1,1,"MDA"
1,1,"MDG"
3,NA,"MDV"
4,4,"MEX"
3,NA,"MKD"
2,NA,"MLI"
3,3,"MLT"
1,1,"MMR"
2,2,"MNG"
3,3,"MOZ"
1,1,"MRT"
3,3,"MUS"
3,3,"MWI"
4,4,"MYS"
1,1,"NAM"
2,NA,"NER"
4,4,"NGA"
2,2,"NIC"
6,6,"NLD"
4,4,"NOR"
3,3,"NPL"
2,2,"NZL"
1,1,"OMN"
4,NA,"PAK"
3,NA,"PAN"
4,4,"PER"
5,5,"PHL"
3,NA,"PNG"
2,2,"POL"
1,1,"PRK"
4,4,"PRT"
2,2,"PRY"
1,1,"QAT"
4,NA,"ROU"
2,2,"RUS"
NA,NA,"RWA"
1,1,"SAU"
2,2,"SDN"
2,2,"SEN"
2,2,"SGP"
4,NA,"SLB"
3,3,"SLE"
4,4,"SLV"
1,1,"SOM"
1,1,"SSD"
2,2,"SUR"
2,2,"SVK"
5,NA,"SVN"
4,4,"SWE"
1,1,"SWZ"
2,2,"SYR"
2,2,"TCD"
2,2,"TGO"
1,1,"THA"
2,2,"TJK"
2,2,"TKM"
3,NA,"TLS"
3,3,"TTO"
NA,NA,"TUN"
2,2,"TUR"
3,3,"TWN"
3,3,"TZA"
3,3,"UGA"
3,NA,"UKR"
2,2,"URY"
4,4,"USA"
1,1,"UZB"
2,2,"VEN"
1,1,"VNM"
5,NA,"VUT"
2,2,"WSM"
NA,NA,"YEM"
2,2,"ZAF"
5,NA,"COD"
3,3,"ZMB"
4,4,"ZWE"
