"","health_index","country_id"
"1",73.8,"USA"
"2",70.5,"THA"
"3",70.2,"NLD"
"4",67.7,"CAN"
"5",63.8,"DNK"
"6",63.5,"AUS"
"7",62.5,"CHE"
"8",60.9,"FRA"
"9",60.8,"FIN"
"10",60.5,"BEL"
"11",59.8,"GBR"
"12",59.6,"ESP"
"13",58.7,"KOR"
"14",58.5,"NOR"
"15",57.1,"MYS"
"16",56.6,"SRB"
"17",55,"PRT"
"18",54.9,"ARG"
"19",54.9,"SVN"
"20",49.3,"SWE"
"21",48.9,"POL"
"22",48.2,"DEU"
"23",47.3,"LVA"
"24",46.9,"MEX"
"25",46.6,"AUT"
"26",46.6,"JPN"
"27",46.5,"HRV"
"28",46.4,"ISL"
"29",45.9,"NIC"
"30",45.7,"CHN"
"31",45.7,"TUR"
"32",45.2,"NZL"
"33",45,"BRA"
"34",45,"PER"
"35",44.8,"SAU"
"36",42.7,"IND"
"37",42.2,"ISR"
"38",41.4,"SGP"
"39",41,"BGR"
"40",40.6,"BLR"
"41",40.2,"IRL"
"42",39.4,"IDN"
"43",39.3,"CHL"
"44",38.8,"QAT"
"45",38.3,"BIH"
"46",38.3,"GEO"
"47",38.2,"PHL"
"48",37.9,"LUX"
"49",37.9,"SVK"
"50",37.6,"GRC"
"51",37.6,"RUS"
"52",37.4,"CUB"
"53",37.4,"CZE"
"54",36.8,"ITA"
"55",36.7,"ROU"
"56",36.6,"HUN"
"57",36.5,"KWT"
"58",36.4,"MDA"
"59",35.9,"ALB"
"60",35.2,"ECU"
"61",35.1,"PAN"
"62",34.6,"IRN"
"63",34.4,"LTU"
"64",34.3,"COL"
"65",33,"ZAF"
"66",31.6,"EST"
"67",31.1,"LIE"
"68",31,"MCO"
"69",30.8,"MNG"
"70",29.8,"KGZ"
"71",29.5,"MNE"
"72",29.5,"MAR"
"73",29,"ETH"
"74",28.3,"VNM"
"75",28.2,"PRY"
"76",28.1,"NPL"
"77",28,"KAZ"
"78",27.9,"BTN"
"79",27.8,"JOR"
"80",27.7,"BHR"
"81",25.7,"ARM"
"82",25.4,"MKD"
"83",25.4,"OMN"
"84",25.3,"SLE"
"85",25.2,"SLV"
"86",24.8,"CRI"
"87",24.4,"SYR"
"88",24.2,"BRN"
"89",24.1,"RWA"
"90",24.1,"URY"
"91",24,"TUN"
"92",23.8,"LBN"
"93",23.7,"TTO"
"94",23.6,"MLT"
"95",23.5,"GMB"
"96",23.4,"GHA"
"97",23,"UKR"
"98",22.9,"ARE"
"99",21.9,"CYP"
"100",21.9,"NER"
"101",21.4,"CMR"
"102",21,"AFG"
"103",20.7,"KEN"
"104",20.6,"LSO"
"105",20.5,"TJK"
"106",20.3,"ZMB"
"107",19.9,"LBR"
"108",19.9,"NGA"
"109",19.9,"PAK"
"110",19.9,"SYC"
"111",19.5,"MMR"
"112",19.4,"LAO"
"113",19.2,"MDG"
"114",19,"VCT"
"115",18.8,"FSM"
"116",18.5,"SEN"
"117",18.1,"MDV"
"118",17.9,"AZE"
"119",17.1,"CIV"
"120",17,"MRT"
"121",17,"MOZ"
"122",16.9,"LKA"
"123",16.5,"SUR"
"124",16.2,"SMR"
"125",16.1,"CPV"
"126",16.1,"DOM"
"127",16,"UZB"
"128",15.7,"EGY"
"129",15.3,"MWI"
"130",15.1,"MUS"
"131",14.9,"BOL"
"132",14.7,"BGD"
"133",14.7,"ZWE"
"134",14.4,"TKM"
"135",14.3,"COK"
"136",14.3,"SDN"
"137",13.6,"SSD"
"138",13.3,"BWA"
"139",13.1,"DZA"
"140",13,"MLI"
"141",12.9,"VEN"
"142",12.8,"CAF"
"143",12.4,"SLB"
"144",12.3,"GUY"
"145",12.2,"PRK"
"146",12,"KHM"
"147",12,"HND"
"148",12,"NRU"
"149",12,"TUV"
"150",11.8,"COD"
"151",11.8,"IRQ"
"152",11.6,"PNG"
"153",11.6,"UGA"
"154",11.5,"PLW"
"155",11.4,"GTM"
"156",11.2,"GAB"
"157",10.9,"AGO"
"158",10.6,"HTI"
"159",10.3,"GRD"
"160",10.1,"NAM"
"161",10,"JAM"
"162",10,"TGO"
"163",9.7,"BLZ"
"164",9.7,"ERI"
"165",9.7,"TLS"
"166",9.4,"COM"
"167",9.3,"DJI"
"168",9.2,"AND"
"169",9.2,"WSM"
"170",9.1,"LBY"
"171",9.1,"NIU"
"172",8.9,"BDI"
"173",8.5,"BRB"
"174",8.5,"DMA"
"175",8.2,"TZA"
"176",8,"GIN"
"177",7.9,"BHS"
"178",7.6,"YEM"
"179",7.5,"FJI"
"180",7.5,"TON"
"181",7.4,"ATG"
"182",7.3,"KIR"
"183",7.2,"MHL"
"184",7.2,"STP"
"185",7.1,"KNA"
"186",6.6,"TCD"
"187",6.6,"VUT"
"188",6.5,"SWZ"
"189",6.3,"COG"
"190",6.3,"LCA"
"191",5.6,"BEN"
"192",5.6,"BFA"
"193",5,"GNQ"
"194",4.6,"GNB"
"195",0.3,"SOM"
