"infections_mers","infections_sars","infections_ebola","infection","country_id"
2,NA,NA,0,"DZA"
2,NA,NA,0,"AUT"
1,NA,NA,0,"BHR"
1,5327,NA,1,"CHN"
1,NA,NA,0,"EGY"
2,7,NA,0,"FRA"
3,9,NA,0,"DEU"
1,NA,NA,0,"GRC"
6,NA,NA,0,"IRN"
1,4,1,0,"ITA"
28,NA,NA,0,"JOR"
4,1,NA,0,"KWT"
2,NA,NA,0,"LBN"
2,5,NA,0,"MYS"
2,NA,NA,0,"NLD"
24,NA,NA,0,"OMN"
2,14,NA,0,"PHL"
19,NA,NA,0,"QAT"
186,3,NA,1,"KOR"
2058,NA,NA,1,"SAU"
3,9,NA,0,"THA"
3,NA,NA,0,"TUN"
1,NA,NA,0,"TUR"
5,4,1,0,"GBR"
87,NA,NA,0,"ARE"
2,27,4,0,"USA"
1,NA,NA,0,"YEM"
NA,6,NA,0,"AUS"
NA,251,NA,1,"CAN"
NA,1755,NA,1,"HKG"
NA,1,NA,0,"MAC"
NA,346,NA,1,"TWN"
NA,3,NA,0,"IND"
NA,2,NA,0,"IDN"
NA,9,NA,0,"MNG"
NA,1,NA,0,"NZL"
NA,1,NA,0,"IRL"
NA,1,NA,0,"ROU"
NA,1,NA,0,"RUS"
NA,238,NA,1,"SGP"
NA,1,NA,0,"ZAF"
NA,1,1,0,"ESP"
NA,5,NA,0,"SWE"
NA,1,NA,0,"CHE"
NA,63,NA,0,"VNM"
NA,NA,3809,1,"GIN"
NA,NA,10675,1,"LBR"
NA,NA,8,0,"MLI"
NA,NA,20,0,"NGA"
NA,NA,1,0,"SEN"
NA,NA,14122,1,"SLE"
