"polity","country_id"
8,"USA"
10,"CAN"
-5,"CUB"
5,"HTI"
7,"DOM"
9,"JAM"
10,"TTO"
8,"MEX"
8,"GTM"
7,"HND"
8,"SLV"
6,"NIC"
10,"CRI"
9,"PAN"
7,"COL"
-3,"VEN"
7,"GUY"
5,"SUR"
5,"ECU"
9,"PER"
8,"BRA"
7,"BOL"
9,"PRY"
10,"CHL"
9,"ARG"
10,"URY"
8,"GBR"
10,"IRL"
10,"NLD"
8,"BEL"
10,"LUX"
9,"FRA"
10,"CHE"
10,"ESP"
10,"PRT"
10,"DEU"
10,"POL"
10,"AUT"
10,"HUN"
9,"CZE"
10,"SVK"
10,"ITA"
9,"ALB"
8,"RKS"
8,"SRB"
9,"MKD"
9,"HRV"
NA,"BIH"
9,"MNE"
10,"SVN"
10,"GRC"
10,"CYP"
9,"BGR"
9,"MDA"
9,"ROU"
4,"RUS"
9,"EST"
8,"LVA"
10,"LTU"
4,"UKR"
-7,"BLR"
7,"ARM"
7,"GEO"
-7,"AZE"
10,"FIN"
10,"SWE"
10,"NOR"
10,"DNK"
10,"CPV"
6,"GNB"
-6,"GNQ"
4,"GMB"
5,"MLI"
7,"SEN"
7,"BEN"
-2,"MRT"
5,"NER"
4,"CIV"
4,"GIN"
6,"BFA"
7,"LBR"
7,"SLE"
8,"GHA"
-2,"TGO"
-4,"CMR"
7,"NGA"
3,"GAB"
6,"CAF"
-2,"TCD"
-4,"COG"
-3,"COD"
-1,"UGA"
9,"KEN"
3,"TZA"
-1,"BDI"
-3,"RWA"
5,"SOM"
3,"DJI"
0,"SSD"
1,"ETH"
-7,"ERI"
-2,"AGO"
5,"MOZ"
6,"ZMB"
4,"ZWE"
6,"MWI"
9,"ZAF"
6,"NAM"
8,"LSO"
8,"BWA"
-9,"SWZ"
6,"MDG"
-3,"COM"
10,"MUS"
-4,"MAR"
2,"DZA"
7,"TUN"
0,"LBY"
-4,"SDN"
-7,"IRN"
-4,"TUR"
6,"IRQ"
-4,"EGY"
-9,"SYR"
6,"LBN"
-3,"JOR"
6,"ISR"
-10,"SAU"
0,"YEM"
-7,"KWT"
-10,"BHR"
-10,"QAT"
-8,"ARE"
-8,"OMN"
-1,"AFG"
-8,"TKM"
-3,"TJK"
8,"KGZ"
-9,"UZB"
-6,"KAZ"
-7,"CHN"
10,"MNG"
10,"TWN"
-10,"PRK"
8,"KOR"
10,"JPN"
9,"IND"
7,"BTN"
7,"PAK"
-6,"BGD"
8,"MMR"
6,"LKA"
7,"NPL"
-3,"THA"
-4,"KHM"
-7,"LAO"
-7,"VNM"
7,"MYS"
-2,"SGP"
8,"PHL"
9,"IDN"
8,"TLS"
10,"AUS"
5,"PNG"
10,"NZL"
8,"SLB"
2,"FJI"
