"pr","country_id"
0,"AFG"
1,"AGO"
1,"ALB"
NA,"ARE"
1,"ARG"
1,"ARM"
1,"AUS"
1,"AUT"
0,"AZE"
1,"BDI"
1,"BEL"
1,"BEN"
1,"BFA"
0,"BGD"
1,"BGR"
0,"BHR"
0,"BHS"
1,"BIH"
0,"BLR"
0,"BLZ"
1,"BOL"
1,"BRA"
0,"BRB"
NA,"BRN"
0,"BTN"
0,"BWA"
0,"CAF"
0,"CAN"
1,"CHE"
0,"CHL"
NA,"CHN"
0,"CIV"
1,"CMR"
0,"COG"
1,"COL"
0,"COM"
1,"CPV"
1,"CRI"
1,"CUB"
1,"CYP"
1,"CZE"
1,"DEU"
1,"DJI"
1,"DNK"
1,"DOM"
1,"DZA"
1,"ECU"
0,"EGY"
NA,"ERI"
1,"ESP"
1,"EST"
0,"ETH"
1,"FIN"
NA,"FJI"
0,"FRA"
0,"GAB"
0,"GBR"
1,"GEO"
0,"GHA"
NA,"GIN"
0,"GMB"
1,"GNB"
1,"GNQ"
1,"GRC"
0,"GRD"
1,"GTM"
1,"GUY"
1,"HND"
1,"HRV"
0,"HTI"
1,"HUN"
1,"IDN"
1,"IND"
1,"IRL"
0,"IRN"
1,"IRQ"
1,"ISL"
1,"ISR"
1,"ITA"
0,"JAM"
NA,"JOR"
1,"JPN"
1,"KAZ"
0,"KEN"
1,"KGZ"
1,"KHM"
1,"KOR"
0,"KWT"
0,"LAO"
0,"LBN"
0,"LBR"
NA,"LBY"
0,"LCA"
1,"LKA"
1,"LSO"
1,"LTU"
1,"LUX"
1,"LVA"
1,"MAR"
1,"MDA"
1,"MDG"
0,"MDV"
1,"MEX"
1,"MKD"
0,"MLI"
1,"MLT"
NA,"MMR"
1,"MNG"
1,"MOZ"
1,"MRT"
0,"MUS"
0,"MWI"
0,"MYS"
1,"NAM"
1,"NER"
0,"NGA"
1,"NIC"
1,"NLD"
1,"NOR"
1,"NPL"
1,"NZL"
1,"OMN"
0,"PAK"
1,"PAN"
1,"PER"
1,"PHL"
0,"PNG"
1,"POL"
NA,"PRK"
1,"PRT"
1,"PRY"
NA,"QAT"
1,"ROU"
1,"RUS"
1,"RWA"
NA,"SAU"
NA,"SDN"
1,"SEN"
0,"SGP"
0,"SLB"
0,"SLE"
1,"SLV"
NA,"SOM"
1,"SSD"
1,"SUR"
1,"SVK"
1,"SVN"
1,"SWE"
0,"SWZ"
0,"SYR"
1,"TCD"
1,"TGO"
0,"THA"
0,"TJK"
0,"TKM"
1,"TLS"
0,"TTO"
1,"TUN"
1,"TUR"
1,"TWN"
0,"TZA"
0,"UGA"
1,"UKR"
1,"URY"
0,"USA"
0,"UZB"
1,"VEN"
0,"VNM"
0,"VUT"
0,"WSM"
NA,"YEM"
1,"ZAF"
1,"COD"
0,"ZMB"
0,"ZWE"
