"media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","country_id"
1.622,0.191,-0.805,0.872,-0.272,0.451,"MEX"
1.192,1.54,0.658,0.75,0.522,0.539,"SUR"
2.602,2.749,2.158,0.892,3.512,0.031,"SWE"
2.454,3.063,2.345,0.877,2.752,0.02,"CHE"
0.953,0.486,0.935,0.817,1.826,0.624,"GHA"
2.118,0.78,-1.195,0.737,1.062,0.688,"ZAF"
1.883,1.219,2.826,0.888,2.424,0.03,"JPN"
0.749,-0.101,-1.038,0.395,0.27,0.425,"MMR"
-0.681,-0.405,0.573,0.882,-0.305,0.778,"RUS"
-0.664,0.415,1.265,0.737,2.143,0.655,"ALB"
-0.923,-1.645,-1.628,0.4,-1.611,0.908,"EGY"
-0.427,-1.519,-2.924,0.426,-1.826,0.797,"YEM"
1.338,0.147,-0.532,0.593,0.102,0.465,"COL"
0.515,1.028,1.388,0.849,0.587,0.138,"POL"
1.231,0.294,-0.248,0.803,-0.183,0.309,"BRA"
2.151,1.651,0.159,0.812,2.119,0.075,"USA"
2.014,1.508,1.661,0.898,2.255,0.128,"PRT"
1.218,0.348,-1.292,0.77,-0.787,0.623,"SLV"
1.53,-1.13,-2.096,0.75,-0.758,0.891,"BGD"
0.269,0.082,-0.709,0.648,0.642,0.465,"BOL"
1.274,1.094,-2.209,0.528,-0.695,0.87,"HTI"
0.584,0.057,-1.236,0.689,-0.224,0.85,"HND"
0.806,0.969,0.381,0.382,1.024,0.55,"MLI"
1.253,-0.962,-2.077,0.565,-1.242,0.701,"PAK"
1.829,1.059,-0.503,0.69,0.132,0.467,"PER"
0.869,1.507,0.165,0.698,2.448,0.33,"SEN"
-2.446,-1.443,-2.918,0.12,-2.363,0.96,"SSD"
0.337,0.299,-1.761,0.456,-0.856,0.733,"SDN"
-1.404,-1.12,0.345,0.67,-0.486,0.641,"VNM"
0.865,-0.516,0.142,0.423,0.139,0.581,"AFG"
2.067,1.649,0.991,0.824,0.291,0.367,"ARG"
0.758,1.052,-0.059,0.146,0.156,0.394,"ETH"
0.601,-0.684,-0.94,0.796,0.477,0.402,"IND"
1.354,1.001,-0.16,0.438,0.347,0.506,"KEN"
-2.643,-2.508,0.19,0.009,-1.636,0.878,"PRK"
2.561,2.474,2.586,0.866,2.274,0.079,"KOR"
0.295,0.935,0.833,0.44,0.357,0.458,"RKS"
2.232,0.045,0.262,0.633,-0.129,0.754,"LBN"
2.147,-0.28,-1.317,0.749,0.756,0.811,"NGA"
1.563,-0.44,-0.996,0.836,-0.802,0.642,"PHL"
0.377,-0.189,0.185,0.584,1.161,0.172,"TZA"
1.282,0.656,2.627,0.88,2.347,0.174,"TWN"
0.329,0.014,0.436,0.655,-1.824,0.719,"THA"
1.028,0.99,-1.378,0.529,0.087,0.733,"UGA"
-0.65,-0.483,-2.354,0.709,-1.984,0.973,"VEN"
-0.283,0.537,-0.143,0.878,0.063,0.385,"BEN"
0.866,1.943,1.769,0.77,1.938,0.151,"BTN"
1.252,1.425,-0.76,0.63,2.753,0.449,"BFA"
-0.484,-0.819,-1.438,0.42,-0.98,0.919,"KHM"
2.758,0.341,-0.492,0.702,1.569,0.624,"IDN"
0.91,0.693,-0.263,0.593,-0.022,0.707,"MOZ"
0.422,0.673,-0.541,0.682,0.869,0.675,"NPL"
-0.185,-1.029,-0.355,0.548,-1.504,0.76,"NIC"
0.96,1.539,-0.237,0.6,1.33,0.626,"NER"
0.348,0.106,-0.955,0.58,0.138,0.663,"ZMB"
0.37,-1.089,-0.799,0.344,-1.279,0.853,"ZWE"
1.456,0.117,-2.076,0.357,-0.419,0.841,"GIN"
0.461,0.306,-0.713,0.474,0.974,0.451,"CIV"
0.768,1.139,-0.845,0.637,-0.11,0.757,"MRT"
2.115,3.004,2.218,0.866,2.306,0.034,"CAN"
1.048,1.049,1.383,0.898,2.861,0.041,"AUS"
0.359,0.786,0.644,0.783,2.272,0.238,"BWA"
-1.471,-2.441,-0.139,0.268,-2.408,0.946,"BDI"
1.604,1.765,0.556,0.831,1.204,0.247,"CPV"
2.424,0.123,-1.976,0.391,-0.684,0.781,"CAF"
0.667,1.688,0.716,0.874,2.033,0.071,"CHL"
1.903,2,2.238,0.856,1.821,0.192,"CRI"
0.918,0.98,-0.841,0.594,0.761,0.479,"TLS"
0.518,1.128,0.649,0.837,1.075,0.365,"ECU"
2.534,2.426,2.79,0.854,1.896,0.052,"FRA"
2.469,2.282,2.734,0.889,2.931,0.036,"DEU"
1.466,0.362,-0.327,0.579,0.161,0.737,"GTM"
1.027,-0.302,0.394,0.713,-0.207,0.693,"IRN"
1.77,-0.695,-0.654,0.693,-0.208,0.822,"IRQ"
2.487,2.707,1.665,0.854,2.638,0.057,"IRL"
2.175,2.259,2.24,0.896,1.657,0.199,"ITA"
0.338,0.187,0.998,0.761,1.047,0.471,"JOR"
1.844,3.097,1.797,0.862,1.712,0.143,"LVA"
-0.028,0.275,1.045,0.652,1.325,0.47,"LSO"
2.015,1.997,-1.597,0.775,0.462,0.776,"LBR"
0.64,0.809,-1.737,0.514,1.107,0.643,"MWI"
1.061,0.797,-0.677,0.708,1.22,0.225,"MDV"
1.219,1.392,0.825,0.88,0.42,0.609,"MNG"
0.441,0.216,-0.158,0.649,0.299,0.648,"MAR"
2.494,1.736,2.697,0.885,3.115,0.026,"NLD"
1.925,1.018,0.935,0.694,0.847,0.345,"PAN"
1.442,0.578,-1.918,0.687,0.711,0.705,"PNG"
-1.795,-1.108,2.707,0.44,-0.467,0.533,"QAT"
1.759,1.048,-0.847,0.623,0.695,0.725,"SLE"
2.644,2.09,2.104,0.897,2.652,0.025,"ESP"
-2.271,-1.552,-2.066,0.371,-1.569,0.828,"SYR"
2.344,1.532,-0.052,0.892,1.652,0.389,"TUN"
-0.707,-1.165,0.17,0.392,-1.232,0.721,"TUR"
1.559,0.019,0.531,0.856,-0.63,0.463,"UKR"
2.543,2.608,2.096,0.815,1.719,0.023,"GBR"
2.253,2.283,2.539,0.853,2.137,0.093,"URY"
0.571,0.654,-0.339,0.611,-0.603,0.627,"DZA"
1.508,1.383,-1.173,0.603,-0.541,0.717,"AGO"
1.422,1.127,1.742,0.894,1.448,0.227,"ARM"
