"","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","country_id"
"1",1.944976,NA,NA,NA,77006,NA,NA,NA,NA,163.842553191489,NA,59.713649198984,NA,NA,NA,NA,"AND"
"2",1.431291,161.839789981026,NA,65943.2789706915,9630959,68980,35562,95533069,10385286000,135.609110109828,59.9724700312814,88.4040483728066,13.131343752479,NA,6.81037334542713,NA,"ARE"
"3",-1.457285,NA,NA,2172.83221680084,37172386,445283,515559,1722612.61,119435105.715177,56.937760009803,10.792339238057,1.17554692684705,0.00125468841072462,NA,0.600920393634121,8.82058232654446,"AFG"
"4",-0.0060096,NA,NA,21115.7982687308,96286,3904,4570,580174.156834825,135127898.770161,218.831818181818,NA,30.5855061099131,0,NA,NA,NA,"ATG"
"5",0.8301269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIA"
"6",0.114788,77.0824018603293,NA,13670.1023036374,2866376,189497,204463,303137,1204383363.60476,104.612262773723,NA,1.98903641031678,1.36575244280874,36.2550631549433,21.3865722661575,19.0816723832217,"ALB"
"7",-0.0243394,91.2889618836494,29.2,12714.9581875167,2951776,130888,201290,NA,254146163.557324,103.680224798033,36.5991186323081,6.33589288838696,0,54.7513338154784,0.726236230955159,28.3956683352025,"ARM"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANT"
"9",-1.052086,NA,39.6,6924.31736780124,30809762,304406,378459,1516628,-6456076413.12033,24.7130520574316,25.2329115687424,0.427004679966497,15.7539134214684,NA,5.00193426291295,NA,"AGO"
"10",0.0259878,30.7004460241825,29.9,22745.9037844103,44494502,2021288,2925564,18081937,11872856662.7649,16.2585100979651,43.0081024392632,4.80529233472193,0.73582402708323,30.5905578010903,34.3623413293522,19.7620486495655,"ARG"
"11",0.5514148,168.238993710692,NA,NA,55465,NA,NA,NA,NA,277.325,NA,41.8020094349815,0,NA,NA,NA,"ASM"
"12",1.453342,107.790261820777,NA,55687.1892771302,8840521,726772,953036,12935505,4220346205.72346,107.127966860564,21.4981334244894,17.465726250517,0.0315537957214575,NA,33.7050727477016,NA,"AUT"
"13",1.596495,43.1922611196402,NA,49575.981131221,24982688,1837298,2074185,75667645.0347507,61493831898.8603,3.24787091037205,60.8916182277904,28.2184096915625,0.212180595930196,NA,NA,NA,"AUS"
"14",1.058392,NA,NA,NA,105845,6093,8252,274280,134979426.030359,588.027777777778,NA,34.7621018587146,0,NA,NA,NA,"ABW"
"15",-0.1004674,92.0112485149855,NA,14197.3543897433,9939800,256084,359716,2279546,1402998000,120.234667956937,22.9957242600455,2.70906158396255,17.8679323602845,50.6120971907671,7.37133985307242,26.9149292187285,"AZE"
"16",-0.6185398,96.3680814875121,NA,14463.4073566994,3323929,232358,315115,NA,488903026.034015,64.92048828125,NA,0.913364839954483,0,40.1629566997666,38.6248991193293,17.4174960361708,"BIH"
"17",0.4269727,82.8798328474247,NA,15724.0042656804,286641,19933,25362,NA,195096000,666.606976744186,NA,12.1299016589554,0.0553369871858055,NA,0.00832839790453467,NA,"BRB"
"18",-0.7483993,38.2448929879071,NA,4441.42305649638,161356039,4204605,4118771,5984155.21211717,2940222419.73224,1239.57931166936,15.1180991744598,0.883753735396142,0.0173925854962997,1.49869191216075,NA,13.0917296932175,"BGD"
"19",1.171748,165.314651522183,NA,51250.3261535632,11433256,938426,1209716,13639487,-54788945348.7546,377.584412153236,26.9539928083479,12.2835331942319,0,NA,34.7793712261157,NA,"BEL"
"20",-0.5783429,68.0304694573599,NA,1859.6412905768,19751535,186791,288625,151531,268414907.946195,72.1912828947368,12.8161228988025,3.89203985292924,0,2.18617357095934,NA,2.28712048366173,"BFA"
"21",0.2718757,131.250967104099,NA,21992.6481077161,7025037,595668,881156,1022645,1222580000,64.7110998526161,18.1126163463623,1.428196392424,0.008284752010467,NA,25.1886659778231,NA,"BGR"
"22",0.1798774,151.593404154427,NA,46172.2536598526,1569439,20433,17635,5877003,111170212.765957,2017.27369979138,NA,51.12678500505,2.01226462292815,NA,NA,NA,"BHR"
"23",-1.419982,39.2100430604203,NA,761.524193384446,11175378,110024,141082,NA,983747.12499426,435.178271028037,NA,2.56563222872762,0,NA,NA,NA,"BDI"
"24",-0.5659866,61.8447185146293,NA,3160.7770925266,11485048,158294,215381,NA,140607611.803344,101.853919829727,NA,2.25554096484421,0.133133579592797,NA,NA,NA,"BEN"
"25",1.387551,NA,NA,NA,63973,NA,NA,NA,95689121.5,1184.68516426289,NA,30.8463970066447,NA,NA,NA,NA,"BMU"
"26",1.252714,93.896319873231,NA,60388.9030876585,428962,10167,10735,1234455,511497137.753507,81.3969639468691,NA,24.2759719084662,8.83716202918395,NA,NA,NA,"BRN"
"27",-0.3220994,57.1099645707698,30.4,8655.53009931298,11353142,377907,438604,4122113,302368781.37636,10.4801458506416,41.3356144052457,1.33326744185504,1.32030413260639,7.77063502396189,NA,76.8804538098556,"BOL"
"28",-0.4474374,29.3977825566287,42.5,14596.2461623842,209469333,8051645,10639033,102109977,78162572752.95,25.0617162430876,41.9461931451321,0.34331320024167,1.25033804009295,30.5353119182891,32.2916882259072,23.7161630091311,"BRA"
"29",0.5391499,77.3503963942211,NA,35500.5441974506,385640,12222,15764,1197116.19679215,491404689.229667,38.5254745254745,NA,15.2843030882508,0,NA,NA,NA,"BHS"
"30",0.3588973,86.7117154922691,NA,11345.4449151598,754394,24889,20399,275849,2649712.66204277,19.7775277714448,NA,6.59576939457687,0,0.712240916240276,0.431698552411759,2.25194620748294,"BTN"
"31",0.3334411,77.1210653162584,NA,17629.8824358112,2254126,38614,56616,253417,228718290.832085,3.97742487604327,NA,7.10033436685768,0,NA,NA,NA,"BWA"
"32",-0.3010303,139.393736250171,21.4,18885.2354999668,9483499,458688,949159,2760168,1426500000,46.7195037884204,21.1385270352219,11.4040105621143,0.515380884649527,49.9879494759897,31.1263871558835,54.081262435566,"BLR"
"33",-0.5938884,115.710066629873,NA,7185.00337073045,383071,9299,8842,1297533.22307894,119541646.954707,16.7939938623411,NA,14.990801225761,0.566050492041156,NA,0.0569634920442284,NA,"BLZ"
"34",1.716108,66.2239712085106,NA,48786.7616479385,37057765,2927422,3458504,89380000,46542783393.9787,4.07518823864492,45.9338791748504,21.801663648343,0.893648264234786,NA,21.4702898284988,NA,"CAN"
"35",-1.554787,70.962411778229,NA,1085.24528712316,84068091,1144474,1392567,932043.438522108,1284643393.84758,37.0825923557045,24.0990056500748,0.70624628058302,0.585519575315312,1.59962111690192,NA,9.99040156967362,"COD"
"36",-1.720417,65.8636468647533,NA,933.109550675102,4666377,52386,79480,NA,17994743.8433,7.49041221227006,NA,1.6651721924121,0,NA,1.09055180012908,NA,"CAF"
"37",-1.217236,154.911112770302,NA,3277.75939878946,5244363,59957,80678,333899,4313143665.0143,15.3568462664715,64.2080267899076,8.50579936930912,36.7338663636481,NA,2.55973576921092,NA,"COG"
"38",2.039621,120.032841308399,NA,68488.3237282712,8513227,712120,873315,28857994,-76220614842.5639,215.437463043118,16.1017555387634,29.3866855419963,0,NA,36.6985242602979,NA,"CHE"
"39",-0.5705186,59.0440575240393,NA,3741.00149707025,25069229,378415,338298,779482,620330654.359791,78.8340534591195,19.6287488538239,9.58259865535208,1.00622378678011,7.92254850633665,NA,27.2292632853045,"CIV"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COK"
"41",1.084034,57.530769814281,NA,24337.7003961579,18729160,926711,1232749,19517185,6082221197.63492,25.1894460666519,35.6682894481119,2.61551321666127,0.0129487426866861,44.9127020912868,6.63068620824043,71.5624227433859,"CHL"
"42",-0.7996525,43.0112830056997,NA,3603.54888184177,25216237,306085,382035,265136,765092012.778526,53.3439889149796,28.0286031575607,1.63631370372888,2.54530394529258,3.40811025210118,1.39488613158826,0.874446502946141,"CMR"
"43",0.4771284,38.2461541085001,NA,15010.5564702227,1392730000,71497278,80601282,611439830,235365050036.341,148.348833270666,27.8875617671767,0.071076396299372,0.335201388534556,35.5795806625965,29.3536726184239,43.8131763544043,"CHN"
"44",-0.0852262,36.7513539651455,39.7,14458.8365150194,49648685,1868387,2340794,33704037,11535119873.131,44.7487021180712,43.8968000864474,0.276047226979187,2.66992801397438,9.2703176583432,15.956632083143,59.250742181647,"COL"
"45",0.3781868,66.99026818208,36.3,19319.6030806703,4999441,221767,255673,1948546,2763898445.34094,97.9130630630631,27.1579362572736,8.77100991087492,0,15.5820489138808,33.8528951164137,45.8479020611049,"CRI"
"46",-0.2448378,27.0947682033132,NA,NA,11338138,787812,934031,560754.332,NA,108.999596231494,18.843199826991,0.117089665081063,0.268737761253663,NA,NA,NA,"CUB"
"47",0.3192393,116.987233506893,NA,6900.02663923232,543767,8902,16164,140429,107974093.736283,134.929776674938,NA,2.86723201832078,0,NA,18.0838149189149,NA,"CPV"
"48",NA,NA,NA,24982.1448487155,159800,11113,15553,NA,126888268.156425,NA,NA,23.925115932902,NA,NA,NA,NA,"CUW"
"49",0.9209022,145.345331863109,NA,34569.2098653756,1189265,74292,88863,401408,5206751664.27152,128.708333333333,NA,16.834034154295,0,NA,23.037191371502,NA,"CYP"
"50",0.9222081,150.389135288693,NA,39495.6274010371,10629928,868331,1196119,5727200,8324668391.46793,137.657705257705,12.1501481477579,3.84222568016916,0.00934287670303137,NA,47.1173542554473,NA,"CZE"
"51",1.619633,88.670840845959,NA,53659.9892931257,82905782,7784757,10008212,109796202.17431,167955928198.984,237.30759674834,9.58303125347759,14.8790512953233,0.0111101742473988,NA,55.544414128872,NA,"DEU"
"52",-0.8990966,327.658169097411,NA,5100.72666784201,958920,20919,22501,NA,170003376.097232,41.3684210526316,NA,12.6541204084874,0,8.50192378981733,NA,9.52545220283742,"DJI"
"53",1.871631,105.236145262923,NA,56102.8219431727,5793636,529516,618373,NA,1166205135.1967,137.976565849012,22.7978768427979,10.0989913532723,0.383322200222548,NA,2.11762260043261,NA,"DNK"
"54",-0.2895034,108.022408078472,NA,11533.4008897018,71625,NA,NA,NA,13286694.9945287,95.5,NA,9.24600990643918,0,NA,NA,NA,"DMA"
"55",-0.4002573,52.0559663850788,35.2,17711.7655341712,10627165,352826,399883,NA,2744500000,219.97857586421,29.8494659676405,3.94707985294239,0,6.48566022251038,1.49840037761973,29.9558549000357,"DOM"
